                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                   1.24,                 2.0415,                 1.4717,                 0.3803,                0.13009,                0.08853,                0.05872,                 1.2891,                 2.0452,                 1.5601,             0.00051154,             0.00051154,             0.00051154
                     55,                 1.2096,                 2.0016,                 1.4549,                 0.2767,                0.12356,                0.08044,                0.05395,                 1.3321,                 2.0631,                 1.6025,             0.00050404,             0.00050404,             0.00050404
                     56,                 1.2407,                 2.0376,                 1.4795,                 0.2193,                0.13538,                0.07761,                0.05181,                 1.2783,                 2.0758,                 1.5348,             0.00049654,             0.00049654,             0.00049654
                     57,                 1.2227,                 1.9858,                 1.4736,                0.25393,                0.11896,                0.08051,                0.05509,                 1.3236,                 2.0522,                 1.5614,             0.00048904,             0.00048904,             0.00048904
                     58,                 1.2038,                 1.9809,                 1.4503,                0.56404,                0.13255,                0.08873,                0.05845,                 1.2965,                  2.052,                 1.5444,             0.00048154,             0.00048154,             0.00048154
                     59,                 1.2054,                 1.9949,                 1.4369,                0.27509,                0.12185,                0.08588,                0.05808,                 1.2689,                 2.0756,                 1.5115,             0.00047404,             0.00047404,             0.00047404
                     60,                 1.2054,                 1.9881,                 1.4583,                0.23557,                 0.1384,                0.08139,                0.05367,                 1.2938,                 2.0541,                 1.5492,             0.00046654,             0.00046654,             0.00046654
                     61,                 1.2056,                 1.9904,                 1.4463,                0.41342,                 0.1257,                0.08098,                0.05351,                 1.3408,                 2.0903,                 1.5405,             0.00045904,             0.00045904,             0.00045904
                     62,                 1.1912,                 1.9909,                 1.4282,                0.28981,                0.12872,                0.08583,                0.05746,                 1.3004,                 2.0468,                 1.5405,             0.00045155,             0.00045155,             0.00045155
                     63,                 1.1831,                 1.9614,                 1.4263,                0.41023,                0.12369,                0.07753,                0.05145,                 1.2984,                 2.0986,                 1.5425,             0.00044405,             0.00044405,             0.00044405
                     64,                 1.1472,                 1.9306,                  1.415,                0.41082,                0.14449,                0.08688,                0.06019,                 1.2622,                 2.0306,                 1.4963,             0.00043655,             0.00043655,             0.00043655
                     65,                 1.1429,                  1.925,                 1.4045,                0.50699,                0.14552,                0.09203,                0.06292,                 1.2775,                 2.0429,                 1.4929,             0.00042905,             0.00042905,             0.00042905
                     66,                 1.1589,                 1.8815,                 1.4174,                0.26143,                0.16175,                0.09004,                 0.0617,                 1.2895,                 2.0553,                 1.5159,             0.00042155,             0.00042155,             0.00042155
                     67,                 1.1483,                  1.898,                  1.394,                0.55022,                0.13046,                0.08902,                0.05949,                  1.283,                 1.9843,                 1.5287,             0.00041405,             0.00041405,             0.00041405
                     68,                  1.144,                  1.911,                 1.4151,                 0.4086,                0.15147,                0.08602,                0.05684,                 1.2663,                 2.0171,                  1.524,             0.00040655,             0.00040655,             0.00040655
                     69,                 1.1205,                 1.8437,                 1.3687,                 0.2518,                0.14825,                0.08646,                0.05597,                 1.2774,                 2.0414,                 1.4995,             0.00039905,             0.00039905,             0.00039905
                     70,                 1.1335,                 1.8612,                 1.4058,                0.28282,                0.14156,                0.08443,                0.05674,                 1.2596,                 1.9809,                    1.5,             0.00039155,             0.00039155,             0.00039155
                     71,                 1.1184,                 1.8893,                 1.3939,                0.40717,                0.16848,                0.08772,                0.05713,                 1.2373,                  1.994,                 1.4921,             0.00038405,             0.00038405,             0.00038405
                     72,                 1.1339,                  1.901,                 1.4088,                0.27662,                 0.1573,                0.09234,                0.05951,                  1.277,                 1.9994,                 1.5246,             0.00037655,             0.00037655,             0.00037655
                     73,                 1.1023,                 1.8514,                 1.3756,                0.39622,                0.15418,                0.08892,                0.05974,                  1.258,                 1.9918,                 1.5066,             0.00036905,             0.00036905,             0.00036905
                     74,                 1.0811,                 1.8199,                 1.3559,                 0.2705,                0.14181,                0.08872,                0.05873,                  1.253,                 2.0213,                 1.5063,             0.00036155,             0.00036155,             0.00036155
