                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.4565,                 2.1761,                  1.582,                0.38906,                0.11958,                 0.0672,                0.03998,                 1.5786,                 2.2598,                 1.6339,             0.00048604,             0.00048604,             0.00048604
                     49,                  1.467,                 2.1843,                 1.5738,                0.24865,                0.13139,                0.07217,                 0.0444,                 1.5187,                 2.1983,                 1.5956,             0.00047704,             0.00047704,             0.00047704
                     50,                 1.4289,                 2.1323,                 1.5592,                 0.2645,                0.11625,                0.07597,                0.04806,                 1.5747,                  2.253,                 1.6329,             0.00046804,             0.00046804,             0.00046804
                     51,                 1.4457,                 2.1561,                 1.5435,                0.29344,                0.12463,                0.07956,                0.05047,                 1.5227,                 2.1907,                 1.6025,             0.00045904,             0.00045904,             0.00045904
                     52,                  1.408,                 2.1099,                 1.5329,                0.41815,                0.13902,                0.07199,                0.04482,                 1.5239,                  2.217,                 1.6042,             0.00045005,             0.00045005,             0.00045005
                     53,                 1.4283,                 2.1269,                 1.5331,                0.40323,                0.11735,                0.07879,                0.04924,                 1.5369,                 2.2425,                 1.5974,             0.00044105,             0.00044105,             0.00044105
                     54,                 1.4266,                  2.104,                  1.536,                0.27739,                0.14659,                0.07663,                0.04783,                 1.5081,                 2.2007,                 1.5818,             0.00043205,             0.00043205,             0.00043205
                     55,                 1.4329,                 2.0736,                 1.5385,                 0.2754,                0.12488,                0.08088,                0.05158,                 1.5065,                 2.2041,                 1.5821,             0.00042305,             0.00042305,             0.00042305
                     56,                 1.4091,                 2.0833,                 1.5303,                 0.2695,                 0.1156,                0.07634,                0.04732,                 1.5274,                 2.1713,                 1.5791,             0.00041405,             0.00041405,             0.00041405
                     57,                  1.385,                 2.0507,                 1.5052,                0.11937,                0.13841,                0.07664,                0.04814,                 1.5098,                 2.1499,                 1.5807,             0.00040505,             0.00040505,             0.00040505
                     58,                 1.3977,                  2.096,                 1.5196,                0.25576,                0.15596,                0.07558,                0.04632,                    1.5,                 2.1787,                 1.5802,             0.00039605,             0.00039605,             0.00039605
                     59,                 1.3788,                 2.0269,                 1.4953,                  0.252,                0.14857,                 0.0868,                0.05548,                 1.4889,                 2.1262,                  1.564,             0.00038705,             0.00038705,             0.00038705
                     60,                 1.3415,                 2.0253,                 1.4827,                0.53162,                0.13394,                 0.0773,                0.04816,                 1.5029,                 2.1257,                 1.5694,             0.00037805,             0.00037805,             0.00037805
                     61,                  1.357,                 2.0272,                 1.4921,                0.24575,                0.14417,                 0.0787,                 0.0491,                 1.5044,                 2.1319,                 1.5625,             0.00036905,             0.00036905,             0.00036905
                     62,                 1.3625,                 2.0309,                 1.4882,                0.12156,                0.12952,                0.07879,                0.04926,                 1.5058,                 2.1639,                 1.5768,             0.00036005,             0.00036005,             0.00036005
                     63,                 1.3581,                 2.0115,                 1.5008,                0.33343,                0.12864,                0.07977,                0.05113,                 1.4984,                 2.1698,                 1.5683,             0.00035106,             0.00035106,             0.00035106
                     64,                 1.3586,                 2.0348,                 1.4792,                0.37543,                0.15013,                 0.0774,                0.04864,                 1.5033,                 2.1767,                 1.5796,             0.00034206,             0.00034206,             0.00034206
                     65,                 1.3511,                 1.9924,                  1.479,                0.26318,                0.12889,                0.07492,                0.04725,                 1.4788,                 2.1314,                 1.5756,             0.00033306,             0.00033306,             0.00033306
